model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,3.3356514,-23.490181,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/hyenadna-tiny-1k-seqlen,10.29618,-18.149485,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8593370657548011,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/hyenadna-tiny-1k-seqlen-d256,8.986284,-18.782944,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8684343145836461,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/hyenadna-tiny-16k-seqlen-d128,10.709513,-16.762205,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8441865827118354,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/hyenadna-small-32k-seqlen,7.3201337,-16.86259,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8614033701713478,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/hyenadna-medium-160k-seqlen,9.015073,-16.349264,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8750736245081588,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/hyenadna-medium-450k-seqlen,10.240706,-14.95027,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8630889851052007,p8_ee24_lr50_euc,8,24,50,euclidean,pca
LongSafari/hyenadna-large-1m-seqlen,11.750857,-14.899241,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.882996050302736,p8_ee24_lr50_euc,8,24,50,euclidean,pca
arcinstitute/evo2_40b_base,28.900015,-23.332157,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.6539986300080781,p8_ee24_lr50_euc,8,24,50,euclidean,pca
arcinstitute/evo2_40b,20.745695,-31.459503,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7225756725075806,p8_ee24_lr50_euc,8,24,50,euclidean,pca
arcinstitute/evo2_20b,20.01395,-31.922441,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7171525891693636,p8_ee24_lr50_euc,8,24,50,euclidean,pca
arcinstitute/evo2_7b_base,-16.85548,42.80526,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8250326130547551,p8_ee24_lr50_euc,8,24,50,euclidean,pca
arcinstitute/evo2_7b_262k,-18.086813,43.51203,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8205974210922076,p8_ee24_lr50_euc,8,24,50,euclidean,pca
arcinstitute/evo2_7b,-18.31554,42.153893,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8167636701690921,p8_ee24_lr50_euc,8,24,50,euclidean,pca
arcinstitute/evo2_1b_base,11.25921,-5.23791,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7342200870482283,p8_ee24_lr50_euc,8,24,50,euclidean,pca
evo-design/evo-2-7b-8k-microviridae,-6.3555746,-16.747883,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.78847106815382,p8_ee24_lr50_euc,8,24,50,euclidean,pca
evo-design/evo-1-7b-131k-microviridae,4.4576044,0.4857192,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7572457351321731,p8_ee24_lr50_euc,8,24,50,euclidean,pca
evo-design/evo-1.5-8k-base,-9.438718,21.119997,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7909976081239937,p8_ee24_lr50_euc,8,24,50,euclidean,pca
togethercomputer/evo-1-8k-base,16.380232,-2.555205,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7424306370027449,p8_ee24_lr50_euc,8,24,50,euclidean,pca
