model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
evo-design/evo-1.5-8k-base,32.75725,11.337912,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7909976081239937,p5_ee24_auto_euc,5,24,auto,euclidean,pca
togethercomputer/evo-1-8k-base,-15.360014,13.11043,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7424306370027449,p5_ee24_auto_euc,5,24,auto,euclidean,pca
togethercomputer/evo-1-131k-base,31.891806,12.234926,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7954309090655141,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/evo-1-8k-crispr,-5.1571126,13.726238,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p5_ee24_auto_euc,5,24,auto,euclidean,pca
LongSafari/evo-1-8k-transposon,-4.6990027,12.917966,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,p5_ee24_auto_euc,5,24,auto,euclidean,pca
zhihan1996/DNABERT-2-117M,-3.509042,6.567216,V_d,tsne,DNABERT-2,mlm_or_encoder,zhihan1996,0.8127822928989513,p5_ee24_auto_euc,5,24,auto,euclidean,pca
zhihan1996/DNABERT-S,-61.270878,-3.7153778,V_d,tsne,DNABERT-S,mlm_or_encoder,zhihan1996,0.8142663811505192,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/moderngena-base,6.3010426,1.7939018,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.856891141667942,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/moderngena-large,18.672253,13.463112,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.8411760746474787,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-lastln-t2t,13.198056,13.055753,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8804501385629268,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-t2t,11.683623,12.475803,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.875354209820089,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base,4.0294576,9.345198,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.876633315294654,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-t2t-multi,13.516643,11.762129,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8818294243347937,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-large-t2t,12.71428,14.470622,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8802055036982036,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bigbird-base-t2t,15.156742,13.020764,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8564414615903444,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-fly,25.6483,16.603727,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8798749389495737,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-athaliana,-11.835006,5.2382135,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8631545556160756,p5_ee24_auto_euc,5,24,auto,euclidean,pca
AIRI-Institute/gena-lm-bert-base-yeast,-57.344917,1.9925141,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.7947921711334538,p5_ee24_auto_euc,5,24,auto,euclidean,pca
PoetschLab/GROVER,4.1105413,10.894134,V_d,tsne,GROVER,mlm_or_encoder,PoetschLab,0.8671038447106474,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/PlantCAD2-Small-l24-d0768,22.419289,-6.5077853,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8884170475709195,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/PlantCAD2-Medium-l48-d1024,21.638262,-7.8167863,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8850322169556907,p5_ee24_auto_euc,5,24,auto,euclidean,pca
kuleshov-group/PlantCAD2-Large-l48-d1536,22.82614,-8.369803,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8885135504845132,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERator-v2-eukaryote-1.2b-base,50.789078,-9.424357,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9160398018093819,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERator-v2-eukaryote-3b-base,52.21506,-11.311527,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9258188828698207,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERator-v2-prokaryote-1.2b-base,-13.276602,11.922147,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8475775736175143,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERator-v2-prokaryote-3b-base,-12.006229,13.711845,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.8647661365519584,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERator-eukaryote-1.2b-base,51.53934,-8.489695,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9123506614793109,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERator-eukaryote-3b-base,52.935566,-10.270039,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9195296385996374,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERanno-prokaryote-0.5b-base,38.01765,26.283674,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8817084154138367,p5_ee24_auto_euc,5,24,auto,euclidean,pca
GenerTeam/GENERanno-eukaryote-0.5b-base,4.570327,-2.7898371,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8500129962518695,p5_ee24_auto_euc,5,24,auto,euclidean,pca
DOEJGI/GenomeOcean-100M-v1.2,30.067278,10.584364,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8707547235495641,p5_ee24_auto_euc,5,24,auto,euclidean,pca
DOEJGI/GenomeOcean-500M-v1.2,31.635965,8.197887,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8839444626248475,p5_ee24_auto_euc,5,24,auto,euclidean,pca
DOEJGI/GenomeOcean-500M,30.289608,8.974638,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8824030266739168,p5_ee24_auto_euc,5,24,auto,euclidean,pca
DOEJGI/GenomeOcean-100M,28.83339,11.107251,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8777694806568301,p5_ee24_auto_euc,5,24,auto,euclidean,pca
DOEJGI/GenomeOcean-4B,32.03987,6.7566376,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8856784906711255,p5_ee24_auto_euc,5,24,auto,euclidean,pca
DOEJGI/GenomeOcean-4B-bgcFM,33.78432,13.22492,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8792286539634104,p5_ee24_auto_euc,5,24,auto,euclidean,pca
ZhejiangLab/Genos-10B-v2,-36.33683,-20.410538,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8866037169308743,p5_ee24_auto_euc,5,24,auto,euclidean,pca
ZhejiangLab/Genos-10B,-36.469727,-21.40182,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8923154127981832,p5_ee24_auto_euc,5,24,auto,euclidean,pca
ZhejiangLab/Genos-1.2B,-30.917578,-18.520117,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8659398847468603,p5_ee24_auto_euc,5,24,auto,euclidean,pca
ZhejiangLab/OneGenome-Rice,4.975234,16.087345,V_d,tsne,OneGenome,ar_or_generative,ZhejiangLab,0.851005834096549,p5_ee24_auto_euc,5,24,auto,euclidean,pca
