model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
GenerTeam/GENERator-eukaryote-3b-base,-20.625124,21.06784,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9195296385996374,p10_ee24_cosine,10,24,auto,cosine,pca
GenerTeam/GENERanno-prokaryote-0.5b-base,-11.476924,11.506559,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8817084154138367,p10_ee24_cosine,10,24,auto,cosine,pca
GenerTeam/GENERanno-eukaryote-0.5b-base,-0.5816043,1.573759,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8500129962518695,p10_ee24_cosine,10,24,auto,cosine,pca
DOEJGI/GenomeOcean-100M-v1.2,-8.26942,17.624434,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8707547235495641,p10_ee24_cosine,10,24,auto,cosine,pca
DOEJGI/GenomeOcean-500M-v1.2,-8.735256,18.331367,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8839444626248475,p10_ee24_cosine,10,24,auto,cosine,pca
DOEJGI/GenomeOcean-500M,-8.987435,17.35071,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8824030266739168,p10_ee24_cosine,10,24,auto,cosine,pca
DOEJGI/GenomeOcean-100M,-8.233194,16.673769,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8777694806568301,p10_ee24_cosine,10,24,auto,cosine,pca
DOEJGI/GenomeOcean-4B,-9.497812,18.214613,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8856784906711255,p10_ee24_cosine,10,24,auto,cosine,pca
DOEJGI/GenomeOcean-4B-bgcFM,-7.2840514,18.63855,V_d,tsne,GenomeOcean,ar_or_generative,DOEJGI,0.8792286539634104,p10_ee24_cosine,10,24,auto,cosine,pca
ZhejiangLab/Genos-10B-v2,12.725248,4.457885,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8866037169308743,p10_ee24_cosine,10,24,auto,cosine,pca
ZhejiangLab/Genos-10B,12.562993,5.1351857,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8923154127981832,p10_ee24_cosine,10,24,auto,cosine,pca
ZhejiangLab/Genos-1.2B,13.244801,4.6205287,V_d,tsne,Genos,ar_or_generative,ZhejiangLab,0.8659398847468603,p10_ee24_cosine,10,24,auto,cosine,pca
ZhejiangLab/OneGenome-Rice,-17.578108,3.8413248,V_d,tsne,OneGenome,ar_or_generative,ZhejiangLab,0.851005834096549,p10_ee24_cosine,10,24,auto,cosine,pca
