model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
RaphaelMourad/Mistral-DNA-v1-17M-pig-13races,-9.486459,-30.604593,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7560749499657892,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-hg38,-13.093144,-30.358513,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6522743549122137,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-17M-hg38,-5.9934835,-17.873865,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8120933659253847,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-1M-hg38,-8.566091,-17.520657,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7652417340533012,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-lncRNA,-9.068048,-29.443449,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7336237875938862,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-417M-Athaliana,-15.341898,-35.07565,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6657346162922085,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-virus,-7.463401,-33.604507,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.5944237064486142,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-noncoding,-4.34459,25.128721,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8069298647587365,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-bacteriophage,-8.530675,-33.610756,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6028566584580207,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-plasmid,-6.7026434,-32.092278,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.6587029529951741,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-yeast,-14.515913,-33.082554,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7072246572524645,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-138M-bacteria,-7.422902,-7.3191614,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.7144042532624235,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Mistral-DNA-v1-422M-hg38,-10.724889,-26.60781,V_d,tsne,Mistral-DNA,ar_or_generative,RaphaelMourad,0.8506983197541412,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-117M-Athaliana,-15.0574045,-31.788256,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.6632138434294502,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-117M-hg38,-9.37227,-13.543832,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.8337786903776166,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/ModernBert-DNA-v1-37M-virus,-7.7296968,-32.614574,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.7175569356285602,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-37M-Athaliana,-17.036337,-33.75073,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.6703268332023103,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/ModernBERT-DNA-v1-37M-hg38,-14.855201,-29.72187,V_d,tsne,ModernBERT-DNA,mlm_or_encoder,RaphaelMourad,0.6887707783859928,p8_ee36_auto_euc,8,36,auto,euclidean,pca
RaphaelMourad/Jamba-DNA-v1-114M-hg38,-4.1470027,-14.964789,V_d,tsne,Jamba-DNA,ar_or_generative,RaphaelMourad,0.8491731838293114,p8_ee36_auto_euc,8,36,auto,euclidean,pca
plant-llms/PlantBiMoE,14.451809,9.946358,V_d,tsne,PlantBiMoE,mlm_or_encoder,plant-llms,0.8831416997893283,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenSLM-25M,-7.9555845,-3.8749757,V_d,tsne,GenSLM,ar_or_generative,GenSLM,0.8187124537715601,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenSLM-250M,-8.596067,-4.500418,V_d,tsne,GenSLM,ar_or_generative,GenSLM,0.8332770033831376,p8_ee36_auto_euc,8,36,auto,euclidean,pca
GenSLM-2.5B,-8.8412285,-3.492942,V_d,tsne,GenSLM,ar_or_generative,GenSLM,0.8577640682538047,p8_ee36_auto_euc,8,36,auto,euclidean,pca
Hengchang-Liu/D3LM-from-nt,-0.8189331,5.4280453,V_d,tsne,D3LM,mlm_or_encoder,Hengchang-Liu,0.8832184453373992,p8_ee36_auto_euc,8,36,auto,euclidean,pca
Hengchang-Liu/D3LM-scratch,-5.4954095,-11.253856,V_d,tsne,D3LM,mlm_or_encoder,Hengchang-Liu,0.8586873230205744,p8_ee36_auto_euc,8,36,auto,euclidean,pca
JadenLong/MutBERT,5.5128245,-10.281005,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,0.8981685232496104,p8_ee36_auto_euc,8,36,auto,euclidean,pca
JadenLong/MutBERT-Multi,5.2484326,-9.160488,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,0.8864963088581912,p8_ee36_auto_euc,8,36,auto,euclidean,pca
JadenLong/MutBERT-Human-Ref,6.1402793,-9.893584,V_d,tsne,MutBERT,mlm_or_encoder,JadenLong,0.8982997255603392,p8_ee36_auto_euc,8,36,auto,euclidean,pca
HuggingFaceBio/Carbon-500M,11.823108,29.073805,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,0.9101119311604692,p8_ee36_auto_euc,8,36,auto,euclidean,pca
HuggingFaceBio/Carbon-3B,12.181944,34.511158,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,0.9233890367837617,p8_ee36_auto_euc,8,36,auto,euclidean,pca
HuggingFaceBio/Carbon-8B,12.984997,35.09319,V_d,tsne,Carbon,ar_or_generative,HuggingFaceBio,0.9172279433913282,p8_ee36_auto_euc,8,36,auto,euclidean,pca
